Unit Cell Height,Base Length ,Side Length,Structure Height,Structure Length,Material,Young's Modulus,Density,Poisson's Ratio,Boundary Conditions,Frequency #,Hexagonal Eigenfrequency (Hz),Auxetic Eigenfrequency 
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,FNF,8,5720.940084845689,12541.71646561205
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,FNF,9,6726.099207835518,13115.971565122962
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,FNF,10,6821.028368221492,13644.463250006987
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNF,1,464.2063046500565,1360.2914717703457
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNF,2,668.4478481061176,1376.8184847124737
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNF,3,1926.4718414859037,1513.8126453827629
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNF,4,2295.9773780201754,4889.339052357163
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNF,5,3154.8152952336454,5268.8777938805715
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNF,6,3547.7379021180645,6122.392761466221
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNF,7,4344.470452423008,6815.737215939483
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNF,8,4436.711450010248,6908.51581897342
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNF,9,5231.950397644985,7549.060660057788
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNF,10,5800.430161450469,8322.789897020224
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNN,1,930.0650055346186,1317.8180650590596
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNN,2,2033.739112342724,3106.3907545317456
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNN,3,3300.150843353864,3429.7591698779697
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNN,4,3396.138278723204,3674.2265860744974
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNN,5,3728.6706726834886,5304.356215611674
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNN,6,3786.903551458058,5443.685030280056
